date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th
2017-03-19,레벤 브로이,프로스펙트 페일 에일,아사히 슈퍼 드라이,,,,,,
2017-03-24,팍세 스타우트,,,,,,,,
2017-03-26,후버 바이세스 헤페-바이젠비어,아사히 드라이 블랙,바이스비어-헬,케이오틱 더블 아이피에이,레벤 브로이,,,,
2017-03-30,투 허 헤페바이젠,,,,,,,,
2017-04-02,킨사치 맥주 블루라벨,킨사치 플레티넘 에일,펠트슐뢰셴,이와테쿠라 맥주 제팬에일 산초,킨사치 맥주 레드라벨,아바시리 감극 검정,미츠보시 맥주 비엔나스타일 라거,이와테쿠라 맥주 골든에일,
2017-04-05,하이네켄 다크,,,,,,,,
2017-04-09,포인트 IPA,킨사치 나고야 아카미소,이와테쿠라 맥주 레드에일,사무엘 아담스,미츠보시 맥주 바이젠,카오리 하나야구 준마이  사케팩,하쿠시카 혼죠조 사케팩,팍세 스타우트,아바시리 프리미엄
2017-04-10,카오리 하나야구 준마이  사케팩,,,,,,,,
2017-04-13,생맥주,,,,,,,,
2017-04-14,수제맥주,,,,,,,,
2017-04-16,이와테 쿠라맥주 쿠로쿠라,이와테쿠라 맥주 스타우트,세븐브로이 IPA,미츠보시 맥주 필스너,헬리오스 별하늘의 포터,잭다니엘 하이볼,홉고블린 골드,에딩거 바이스비어,
2017-04-23,수제흑맥주,홉고블린 골드,L7,코젤 다크,포인트 IPA,킨사치 IPA,BASS 프리미엄 에일,,
2017-04-24,코젤 다크,,,,,,,,
2017-04-27,홉고블린 골드,,,,,,,,
2017-04-30,홉고블린 골드,구스 IPA,레벤 브로이,,,,,,
2017-05-06,드레스덴 헤페바이젠,홉고블린 골드,산토리 프리미엄 몰츠,,,,,,
2017-05-07,사무엘 아담스,산토리 프리미엄 몰츠,에딩거 바이스비어,,,,,,
2017-05-11,필스너 우르켈,,,,,,,,
2017-05-13,코젤 다크,,,,,,,,
2017-05-14,아사히 슈퍼 드라이,아이바움 레드 비어,아사히 드라이 블랙,팍세 스타우트,,,,,
2017-05-15,수제흑맥주,,,,,,,,
2017-05-17,홉고블린 골드,,,,,,,,
2017-05-18,팍세 스타우트,,,,,,,,
2017-05-21,수제IPA,케이오틱 더블 아이피에이,팍세 스타우트,가쿠 하이볼,,,,,
2017-05-23,수제IPA,,,,,,,,
2017-05-24,팍세 스타우트,,,,,,,,
2017-05-26,수제IPA,,,,,,,,
2017-05-28,하쿠시카 준마이긴조 팩사케,아사히 드라이 블랙,수제IPA,가쿠 하이볼,,,,,
2017-06-18,파이어스토 워커 피보,베이비데디 시즌 IPA,아사히 드라이 블랙,팍세 스타우트,위스콘신 아메리카 IPA,,,,
2017-06-24,파울라너,,,,,,,,
2017-06-25,레벤 브로이,풍슈태터 바이젠 둔켈,위스콘신 아메리카 페일 에일,팍세 스타우트,,,,,
2017-06-29,코젤 다크,,,,,,,,
2017-07-02,엘 다크,투 허 헤페바이젠,하쿠시카 토쿠베츠 준마이 야마다니시히키,아사히 드라이 블랙,,,,,
2017-07-09,잭해머,아사히 드라이 블랙,팍세 스타우트,고메우마 쥰마이팩,,,,,
2017-07-12,수제맥주,,,,,,,,
2017-07-14,수제IPA,,,,,,,,
2017-07-15,수제IPA,,,,,,,,
2017-07-16,고메우마 쥰마이팩,윌리안브로이 다크 라거,산토리 프리미엄 몰츠,아사히 드라이 블랙,아사히 프리미엄 리치,벨러스트 포인트 빅아이 IPA,예거맥주,,
